name,category,brand,strainType,priceRec,dispensary,productUrl,price,potency,quantity
Rainbow Fizz | Garden State Banana Flower,FLOWER,Garden State Banana,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=2a896cd5-03ba-4b9f-b086-634bdda6513d,39.0,,
AJs Sour Diesel | Anthologie Flower,FLOWER,Anthologie,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=5db82f85-8b7c-4378-8cb1-bed49f157875,32.5,,
Subzero | Jerzey Grown Premium Flower,FLOWER,Jerzey Grown Premium,INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=21a63006-ebf2-465d-9427-e6136aa9fbe4,39.0,,
Savvy | Yum Yum Flower (Smalls),FLOWER,Savvy,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=cd7b3473-71ec-4cf2-8ef8-001f96caddd8,48.75,,
Truffle Cake | Panda Farms Flower,FLOWER,Panda Farms,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=7eb9c7b8-2916-4c97-afa7-9cd635c844de,35.75,,
Truffle Cake | Panda Farms Pre-Roll,PRE_ROLLS,Panda Farms,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=9b2976d0-2290-4f04-a47e-e55730685936,13.0,,
Blue Nerdz | Panda Farms Pre-Roll,PRE_ROLLS,Panda Farms,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=dde15685-9067-4852-aa99-e5e25d517633,19.5,,
Citradelic Sunset | Anthologie Flower,FLOWER,Anthologie,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=c123d330-04b3-4fea-834b-8600fe682962,35.75,,
Biscotti Pancakes | niche. Flower,FLOWER,niche.,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=7c729463-7e0a-4c04-9048-eade53ea575d,35.75,,
Gunpowder Milkshake | The Happy Farmer Pre-Roll (2 pk),PRE_ROLLS,The Happy Farmer,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=295a58bd-d6c1-44c8-b4f8-c7b9e4dc365c,7.8,,2.0
Super Lemon Haze | Garden Greens Flower,FLOWER,Garden Greens,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=dd7f5c3d-5595-4d7d-b0e3-d12ecf9c6066,39.0,,5.0
White Runtz | URBNJ Flower,FLOWER,URBNJ,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=80f42500-d95d-4120-9744-11fc33b9952c,45.5,,7.0
White Runtz | URBNJ Flower,FLOWER,URBNJ,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=7c413c04-e82a-4f24-8159-174154e4c4c0,7.8,,
Mac n Jack | Anthologie Flower,FLOWER,Anthologie,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=a8bb9347-f43a-42eb-8fe3-c765ad04078f,32.5,,
Mac n Jack | Anthologie Pre-Roll,PRE_ROLLS,Anthologie,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=c915219a-148b-4670-a1c7-cdd10cece108,9.1,,
Kushberry | Seed & Strain Flower,FLOWER,Seed & Strain,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=9c9a6f0f-e642-42b1-b9e8-35581b5d4fa5,29.25,,
Blue Dream | URBNJ Pre-Roll,PRE_ROLLS,URBNJ,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=d1a1d13a-4c49-42f0-b6f8-6c1a73da55ba,6.5,,
Cookies | That Badu Flower,FLOWER,Cookies,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=fe70fbb7-6d0c-4f61-888a-52513128c8e7,72.15,,
Jelly Cake | Jerzey Grown | 3.5 Flower,FLOWER,Jerzey Grown,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=1f23b16c-a39e-48b4-a43a-3679598a04f6,32.5,,
AJs Sour Diesel | Anthologie Pre-Roll,PRE_ROLLS,Anthologie,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=9099e8e7-cbf6-4a5d-a958-ae88e33c5dc6,9.1,,
Cherry Runtz (I) | Hamilton Farms Flower,FLOWER,Hamilton Farms,INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=a8a5246e-8660-4114-970b-05f2999f6700,32.5,,
Mac Stomper | Crops Pre-Roll,PRE_ROLLS,Crops,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=0105812c-8bfc-4165-b8f1-4729e80f719c,7.8,,
Mango Lemonade | URBNJ Flower,FLOWER,URBNJ,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=5708c0e2-a99d-485b-ac14-e01d52aee662,45.5,,7.0
Mango Lemonade | URBNJ Flower,FLOWER,URBNJ,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=21a75afe-0bb4-4acd-b438-60a59921a80d,7.8,,
Gush Mints | Panda Farms Flower,FLOWER,Panda Farms,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=2311ddee-a045-4966-9041-853c12e22378,33.0,,
Fast Times | Miss Grass Pre-Rolls (5 Pack),PRE_ROLLS,Miss Grass,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=442447ea-9e8d-4393-99be-e1f7b045ac75,22.1,,5.0
Zclair | Jerzey Grown Premium Flower,FLOWER,Jerzey Grown Premium,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=01569788-86ff-4966-82df-3c7682888822,32.5,,
Brownie Scout | Rythm Flower,FLOWER,Rythm,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=34ee024e-50c1-40c0-abcd-776dfc350dc7,35.75,,
Brownie Scout | RYTHM Flower,FLOWER,Rythm,INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=f026312b-e290-4bca-911f-01a231995ccb,48.75,,
